year,month,grid_id,total_rainfall_mm
2020,2,33434,11.59495712518692
2020,1,33435,6.413669839501381
2020,2,33435,6.413669839501381
2020,1,33436,3.5027132853865623
2020,2,33436,3.5027132853865623
2020,1,33437,2.8601258903741837
2020,2,33437,2.8601258903741837
2020,1,33438,3.8407755613327024
2020,2,33438,3.8407755613327024
2020,1,33439,7.053961995244026
2020,2,33439,7.053961995244026
2020,1,33440,10.528348065912724
2020,2,33440,10.528348065912724
2020,1,33441,12.65576894879341
2020,2,33441,12.65576894879341
2020,1,33442,13.65745900273323
2020,2,33442,13.65745900273323
2020,1,33443,13.89602067321539
2020,2,33443,13.89602067321539
2020,1,33444,13.736431574821474
2020,2,33444,13.736431574821474
2020,1,33445,14.807905423641204
2020,2,33445,14.807905423641204
2020,1,33446,18.94024740457535
2020,2,33446,18.94024740457535
2020,1,33447,28.59423779845237
2020,2,33447,28.59423779845237
2020,1,33448,38.366098934412
2020,2,33448,38.366098934412
2020,1,33449,42.44022948741914
2020,2,33449,42.44022948741914
2020,1,33450,44.17014179825783
2020,2,33450,44.17014179825783
2020,1,33451,40.5373445212841
2020,2,33451,40.5373445212841
2020,1,33452,34.45308034271002
2020,2,33452,34.45308034271002
2020,1,33453,33.67023613154888
2020,2,33453,33.67023613154888
2020,1,33454,35.10608019828797
2020,2,33454,35.10608019828797
2020,1,33455,36.218451806902884
2020,2,33455,36.218451806902884
2020,1,33456,37.32971538305283
2020,2,33456,37.32971538305283
2020,1,33457,38.72045247852802
2020,2,33457,38.72045247852802
2020,1,33458,39.09569110870361
2020,2,33458,39.09569110870361
2020,1,33459,36.11453875899315
2020,2,33459,36.11453875899315
2020,1,33460,28.413661941885948
2020,2,33460,28.413661941885948
2020,1,33461,21.33379511684179
2020,2,33461,21.33379511684179
2020,1,33462,17.916042670607567
2020,2,33462,17.916042670607567
2020,1,33463,17.33665364086628
2020,2,33463,17.33665364086628
2020,1,33464,19.571589079499248
2020,2,33464,19.571589079499248
2020,1,33465,25.194433954358097
2020,2,33465,25.194433954358097
2020,1,33466,31.74745670855045
2020,2,33466,31.74745670855045
2020,1,33467,41.64588314890862
2020,2,33467,41.64588314890862
2020,1,33468,53.138304433226594
2020,2,33468,53.138304433226594
2020,1,33469,62.09382406175135
2020,2,33469,62.09382406175135
2020,1,33470,67.6965423822403
2020,2,33470,67.6965423822403
2020,1,33471,69.92684994339942
2020,2,33471,69.92684994339942
2020,1,33622,974.1575612664222
2020,2,33622,974.1575612664222
2020,1,33623,1000.8316775143144
2020,2,33623,1000.8316775143144
2020,1,33624,827.7374945819378
2020,2,33624,827.7374945819378
2020,1,33625,555.359278446436
2020,2,33625,555.359278446436
2020,1,33626,387.34093080759055
2020,2,33626,387.34093080759055
2020,1,33627,337.4035587072372
2020,2,33627,337.4035587072372
2020,1,33628,262.4747332364321
2020,2,33628,262.4747332364321
2020,1,33629,230.1254673108458
2020,2,33629,230.1254673108458
2020,1,33630,225.4430255174637
2020,2,33630,225.4430255174637
2020,1,33631,282.387946242094
2020,2,33631,282.387946242094
2020,1,33632,364.5340392351151
2020,2,33632,364.5340392351151
2020,1,33633,746.7766903758048
2020,2,33633,746.7766903758048
2020,1,33634,1115.4571004033087
2020,2,33634,1115.4571004033087
2020,1,33635,1087.232947444916
2020,2,33635,1087.232947444916
2020,1,33636,785.6542789578436
2020,2,33636,785.6542789578436
2020,1,33637,633.0277081966399
2020,2,33637,633.0277081966399
2020,1,33638,441.63656654953957
2020,2,33638,441.63656654953957
2020,1,33639,241.7015303134918
2020,2,33639,241.7015303134918
2020,1,33640,56.440327072143546
2020,2,33640,56.440327072143546
2020,1,33641,44.13796824216843
2020,2,33641,44.13796824216843
2020,1,33642,44.17058759331704
2020,2,33642,44.17058759331704
2020,1,33643,57.300964799523356
2020,2,33643,57.300964799523356
2020,1,33644,77.52250804901124
2020,2,33644,77.52250804901124
2020,1,33645,87.35846033096314
